TaskId	TaskName	TaskType	MapId	PosX	PosY	MapName	NpcId	Num	LevelSeg	color
50027	Tây Môn Vô Danh	KillNpc	92	1603	3208	Thái Thạch Cơ	3021	1	1	yellow
50028	Hạng Lệnh Thành	KillNpc	92	1703	3679	Thái Thạch Cơ	3022	1	1	yellow
50029	Bồ Sát Sa Hổ	KillNpc	93	1679	3916	Dược Vương Động	3023	1	2	yellow
50030	Hạ Thiếu Hùng	KillNpc	93	1654	3352	Dược Vương Động	3024	1	2	yellow
50031	Hồ Nhất Lang	KillNpc	93	1945	3325	Dược Vương Động	3025	1	2	yellow
50032	Hoàng Lực Báo	KillNpc	93	1875	3475	Dược Vương Động	3026	1	2	yellow
50033	Lâu Kế Thiện	KillNpc	94	1616	3775	Cư Diên Trạch	3027	1	2	yellow
50034	Lư Quán Bắc	KillNpc	94	1713	3250	Cư Diên Trạch	3028	1	2	yellow
50035	Lục Trọng Hiền	KillNpc	94	1970	3711	Cư Diên Trạch	3029	1	2	yellow
50036	Lạc Nhĩ Kim	KillNpc	94	1716	3746	Cư Diên Trạch	3030	1	2	yellow
50037	Thượng Quan Ẩn	KillNpc	95	1738	3256	Phục Ngưu Sơn	3031	1	2	yellow
50038	Thiệu Thất Sát	KillNpc	95	1611	3838	Phục Ngưu Sơn	3032	1	2	yellow
50039	Thi Hổ Báo	KillNpc	95	1828	3924	Phục Ngưu Sơn	3033	1	2	yellow
50040	Thạch Cố Kiều	KillNpc	95	1874	3280	Phục Ngưu Sơn	3034	1	2	yellow
50041	Đường Cừu Chi	KillNpc	96	1948	3456	Hổ Khâu Kiếm Trì	3035	1	2	yellow
50042	Đào Đảo Chủ	KillNpc	96	1770	3225	Hổ Khâu Kiếm Trì	3036	1	2	yellow
50043	Điền Vô Đạo	KillNpc	96	1576	3898	Hổ Khâu Kiếm Trì	3037	1	2	yellow
50044	Đồng Bất Phúc	KillNpc	96	1835	3707	Hổ Khâu Kiếm Trì	3038	1	2	yellow
50045	Vạn Tiêu Sơn	KillNpc	97	1636	3489	Hưởng Thủy Động	3039	1	2	yellow
50046	Uông Thệ Thủy	KillNpc	97	1795	3276	Hưởng Thủy Động	3040	1	2	yellow
50047	Vương Bá Thiên	KillNpc	97	1871	3348	Hưởng Thủy Động	3041	1	2	yellow
50048	Vu Cửu Đồ	KillNpc	97	1893	3659	Hưởng Thủy Động	3042	1	2	yellow
50049	Tiết Điệp Y	KillNpc	98	1852	3881	Điểm Thương Sơn	3043	1	2	yellow
50050	Chung Thiết Thoái	KillNpc	98	1822	3321	Điểm Thương Sơn	3044	1	2	yellow
50051	Ứng Tiêu Phong	KillNpc	98	1856	3537	Điểm Thương Sơn	3045	1	2	yellow
50052	Du Vạn Lý	KillNpc	98	1615	3248	Điểm Thương Sơn	3046	1	2	yellow
50053	Trang Minh Trung	KillNpc	99	1486	2581	Bành Lãi Cổ Trạch	3047	1	2	yellow
50054	Trác Lãnh Sơn	KillNpc	99	1627	2774	Bành Lãi Cổ Trạch	3048	1	2	yellow
50055	Liễu Tứ Gia	KillNpc	99	1218	2782	Bành Lãi Cổ Trạch	3049	1	2	yellow
50056	Long Viễn Sơn	KillNpc	99	1380	3187	Bành Lãi Cổ Trạch	3050	1	2	yellow
50057	Trần Thủ Thu	KillNpc	100	1888	3196	Phong Lăng Độ	3051	1	3	yellow
50058	Trình Đạp Ba	KillNpc	100	1699	3130	Phong Lăng Độ	3052	1	3	yellow
50059	Chử Thiên Mẫn	KillNpc	100	1695	3744	Phong Lăng Độ	3053	1	3	yellow
50060	Hoàn Nhan Sửu Nô	KillNpc	100	1909	3289	Phong Lăng Độ	3054	1	3	yellow
50061	Nguy Danh Kỳ	KillNpc	101	1717	3858	Mê Cung Sa Mạc	3055	1	3	yellow
50062	Vệ Biên Thành	KillNpc	101	1702	3311	Mê Cung Sa Mạc	3056	1	3	yellow
50063	Vu Hiền Long	KillNpc	101	1837	3345	Mê Cung Sa Mạc	3057	1	3	yellow
50064	Viên Niệm Tịch	KillNpc	101	1592	3773	Mê Cung Sa Mạc	3058	1	3	yellow
50065	Tang An Nhi	KillNpc	102	1616	3122	Kê Quán Động	3059	1	3	yellow
50066	Tăng A Ngưu	KillNpc	102	1634	2842	Kê Quán Động	3060	1	3	yellow
50067	Chiêm Phúc Vân	KillNpc	102	1213	2955	Kê Quán Động	3061	1	3	yellow
50068	Trương Trấn Phi	KillNpc	102	1400	2724	Kê Quán Động	3062	1	3	yellow
50069	Diệp Hoa Dung	KillNpc	103	1794	3216	Thục Cương Sơn	3063	1	3	yellow
50070	Trác Thất Lang	KillNpc	103	1975	3411	Thục Cương Sơn	3064	1	3	yellow
50071	Tả Khí Danh	KillNpc	103	1719	3908	Thục Cương Sơn	3065	1	3	yellow
50072	Bạch Thương Nham	KillNpc	103	1628	3512	Thục Cương Sơn	3066	1	3	yellow
50073	Viên Thiên Thọ	KillNpc	104	1781	3750	Kiếm Các Thục Đạo	3067	1	3	yellow
50074	Nhạc Nguyên Kính	KillNpc	104	1925	3525	Kiếm Các Thục Đạo	3068	1	3	yellow
50075	Thượng Quan Cừu	KillNpc	104	1532	3541	Kiếm Các Thục Đạo	3069	1	3	yellow
50076	Tiết Vô Cực	KillNpc	104	1754	3376	Kiếm Các Thục Đạo	3070	1	3	yellow
50077	Liên Kinh Thái	KillNpc	105	1277	3377	Hoàng Lăng Đoàn Thị	3071	1	3	yellow
50078	Lăng Tận Trung	KillNpc	105	1549	3089	Hoàng Lăng Đoàn Thị	3072	1	3	yellow
50079	Kinh Bất Bình	KillNpc	105	1887	3371	Hoàng Lăng Đoàn Thị	3073	1	3	yellow
50080	Bồ Thập Tam	KillNpc	105	1541	3651	Hoàng Lăng Đoàn Thị	3074	1	3	yellow
50081	Yến Lưu Sênh	KillNpc	106	1719	3822	Cửu Nghi Khê	3075	1	3	yellow
50082	Dương Phong Dật	KillNpc	106	1920	3740	Cửu Nghi Khê	3076	1	3	yellow
50083	Tạ Trọng Hầu	KillNpc	106	1847	3285	Cửu Nghi Khê	3077	1	3	yellow
50084	Diệp Hạo Long	KillNpc	106	1731	3489	Cửu Nghi Khê	3078	1	3	yellow
50085	Gia Luật Thiết Thích	KillNpc	107	1945	3695	Long Môn Thạch Quật	3079	1	4	yellow
50086	Chương Nguyên Sùng	KillNpc	107	1778	3829	Long Môn Thạch Quật	3080	1	4	yellow
50087	Trịnh Cửu Công	KillNpc	107	1708	3301	Long Môn Thạch Quật	3081	1	4	yellow
50088	Trịnh Trác Quần	KillNpc	107	1883	3293	Long Môn Thạch Quật	3082	1	4	yellow
50089	Một Tàng Võ	KillNpc	108	1885	3289	Hoàng Lăng Tây Hạ	3083	1	4	yellow
50090	Mạc Nam Trúc	KillNpc	108	1787	2916	Hoàng Lăng Tây Hạ	3084	1	4	yellow
50091	Hoàng Vạn Kiếp	KillNpc	108	1931	2843	Hoàng Lăng Tây Hạ	3085	1	4	yellow
50092	Khinh Khinh Nhi	KillNpc	108	2001	3021	Hoàng Lăng Tây Hạ	3086	1	4	yellow
50093	Mạc Tiểu Tiểu	KillNpc	109	1823	3888	Hoàng Hạc Lâu	3087	1	4	yellow
50094	Phan Thủ An	KillNpc	109	1821	3474	Hoàng Hạc Lâu	3088	1	4	yellow
50095	Tùng Vô Ảnh	KillNpc	109	1886	3327	Hoàng Hạc Lâu	3089	1	4	yellow
50096	Đặng An Khuê	KillNpc	109	1646	3301	Hoàng Hạc Lâu	3090	1	4	yellow
50097	Cố Vô Thường	KillNpc	110	1323	3055	Tiến Cúc Động	3091	1	4	yellow
50098	Cổ Thanh Dương	KillNpc	110	1586	3276	Tiến Cúc Động	3092	1	4	yellow
50099	Quan Tử Mạc	KillNpc	110	1642	2944	Tiến Cúc Động	3093	1	4	yellow
50100	Hà Liên Tố	KillNpc	110	1380	3000	Tiến Cúc Động	3094	1	4	yellow
50101	Chu Trần Phi	KillNpc	111	1709	3209	Kiếm Môn Quan	3095	1	4	yellow
50102	Chu Sở Bá	KillNpc	111	1962	3225	Kiếm Môn Quan	3096	1	4	yellow
50103	Gia Cát Kinh Hồng	KillNpc	111	1938	3698	Kiếm Môn Quan	3097	1	4	yellow
50104	Phong Vô Ngấn	KillNpc	111	1622	3637	Kiếm Môn Quan	3098	1	4	yellow
50105	Cam Chính Cô	KillNpc	112	1598	3720	Thiên Long Tự	3099	1	4	yellow
50106	Cảnh Dung Phục	KillNpc	112	1631	3323	Thiên Long Tự	3100	1	4	yellow
50107	Cô Dự Tẩu	KillNpc	112	1847	3357	Thiên Long Tự	3101	1	4	yellow
50108	Đoạn Lăng Nguyệt	KillNpc	112	1793	3756	Thiên Long Tự	3102	1	4	yellow
50109	Phạm Triều Sương	KillNpc	113	1740	3702	Bang Nguyên Bí Động	3103	1	4	yellow
50110	Phương Đại Châu	KillNpc	113	1750	3198	Bang Nguyên Bí Động	3104	1	4	yellow
50111	Phùng Song Dực	KillNpc	113	1495	3307	Bang Nguyên Bí Động	3105	1	4	yellow
50112	Phó Tu Văn	KillNpc	113	1405	3495	Bang Nguyên Bí Động	3106	1	4	yellow
50113	Húc Nhật Can	KillNpc	114	1617	3744	Sắc Lặc Xuyên	3107	1	5	yellow
50114	Tra Can Ba Lạp	KillNpc	114	1736	3228	Sắc Lặc Xuyên	3108	1	5	yellow
50115	Cáp Nhĩ Ba Lạp	KillNpc	114	1808	3746	Sắc Lặc Xuyên	3109	1	5	yellow
50116	Tô Hách Ba Lỗ	KillNpc	114	1926	3232	Sắc Lặc Xuyên	3110	1	5	yellow
50117	Cuồng Phong Sa	KillNpc	115	1489	2902	Gia Dụ Quan	3111	1	5	yellow
50118	Mã Vạn Cù	KillNpc	115	1512	3177	Gia Dụ Quan	3112	1	5	yellow
50119	Ca Thư Mạc	KillNpc	115	1642	3267	Gia Dụ Quan	3113	1	5	yellow
50120	Sở Phi Ưng	KillNpc	115	1779	2921	Gia Dụ Quan	3114	1	5	yellow
50121	Lệnh Hồ Chiêm	KillNpc	116	1599	3670	Hoa Sơn	3115	1	5	yellow
50122	Nhạc Lãnh Thiền	KillNpc	116	1700	3490	Hoa Sơn	3116	1	5	yellow
50123	Phong Cốc	KillNpc	116	1821	3234	Hoa Sơn	3117	1	5	yellow
50124	Ninh Cán Cán	KillNpc	116	1856	3589	Hoa Sơn	3118	1	5	yellow
50125	Ngưu Chấn Sơn	KillNpc	117	1622	2919	Thục Cương Bí Cảnh	3119	1	5	yellow
50126	Nguyên Thập Nhị	KillNpc	117	1672	3358	Thục Cương Bí Cảnh	3120	1	5	yellow
50127	Diêu Thanh Bình	KillNpc	117	1440	3443	Thục Cương Bí Cảnh	3121	1	5	yellow
50128	Tôn Nguyệt Lâu	KillNpc	117	1536	2937	Thục Cương Bí Cảnh	3122	1	5	yellow
50129	Hắc Vô Thường	KillNpc	118	1457	3597	Phong Đô Quỷ Thành	3123	1	5	yellow
50130	Bạch Vô Thường	KillNpc	118	1617	3849	Phong Đô Quỷ Thành	3124	1	5	yellow
50131	Diêm Thập Điện	KillNpc	118	1860	3784	Phong Đô Quỷ Thành	3125	1	5	yellow
50132	Chung Thần Phán	KillNpc	118	1874	3406	Phong Đô Quỷ Thành	3126	1	5	yellow
50133	Ba Đại Nhi	KillNpc	119	1580	3193	Miêu Lĩnh	3127	1	5	yellow
50134	Kỷ Thiên Thành	KillNpc	119	1606	3653	Miêu Lĩnh	3128	1	5	yellow
50135	Lâu Thiên Thiên	KillNpc	119	1718	3275	Miêu Lĩnh	3129	1	5	yellow
50136	Bạch Viễn Hải	KillNpc	119	1838	3666	Miêu Lĩnh	3130	1	5	yellow
50137	Điền Bất Nhị	KillNpc	120	1843	3469	Vũ Di Sơn	3131	1	5	yellow
50138	Thẩm Ngũ Lang	KillNpc	120	1932	3867	Vũ Di Sơn	3132	1	5	yellow
50139	Sử Thiết Chưởng	KillNpc	120	1690	3802	Vũ Di Sơn	3133	1	5	yellow
50140	Dư Chính Hải	KillNpc	120	1619	3571	Vũ Di Sơn	3134	1	5	yellow
50141	Bùi Thời Uyên	KillNpc	121	1817	3266	Vũ Lăng Sơn	3135	1	5	yellow
50142	Ngô Thái Huyền	KillNpc	121	1682	3456	Vũ Lăng Sơn	3136	1	5	yellow
50143	Hoàng Phủ Kiến	KillNpc	121	1567	3310	Vũ Lăng Sơn	3137	1	5	yellow
50144	Thân Đồ Chân	KillNpc	121	1482	3158	Vũ Lăng Sơn	3138	1	5	yellow


[95]TRẦN VÔ MỆNH[Thổ]	95	115	1712	2864	嘉峪关			0	222,184,135
0	[95]TRẦN VÔ MỆNH[Thổ]	95	116	1904	3280	华山			0	222,184,135
0	[95]TRẦN VÔ MỆNH[Thổ]	95	118	1816	3440	丰都鬼城			0	222,184,135
0	[95]TRẦN VÔ MỆNH[Thổ]	95	120	1616	3840	武夷山			0	222,184,135
0	[95]TRẦN VÔ MỆNH[Thổ]	95	121	1592	3072	武陵山			0	222,184,135
0	[55]CAO SĨ HIỀN[Thổ]	55	71	1744	3440	九老洞二层			0	222,184,135
0	[55]CAO SĨ HIỀN[Thổ]	55	71	1624	3664	九老洞二层			0	222,184,135
0	[55]CAO SĨ HIỀN[Thổ]	55	71	1792	3424	九老洞二层			0	222,184,135
0	[55]CAO SĨ HIỀN[Thổ]	55	72	2016	3488	百花阵内阵			0	222,184,135
0	[55]CAO SĨ HIỀN[Thổ]	55	72	2152	3920	百花阵内阵			0	222,184,135
0	[55]CAO SĨ HIỀN[Thổ]	55	72	2312	3696	百花阵内阵			0	222,184,135
0	[55]CAO SĨ HIỀN[Thổ]	55	73	1664	3600	湖畔竹林西部			0	222,184,135
0	[55]CAO SĨ HIỀN[Thổ]	55	73	1616	3360	湖畔竹林西部			0	222,184,135
0	[55]CAO SĨ HIỀN[Thổ]	55	73	1720	3616	湖畔竹林西部			0	222,184,135
0	[55]CAO SĨ HIỀN[Thổ]	55	73	1718	3367	湖畔竹林西部			0	222,184,135
0	[95]GIẢ DẬT SƠN[THỦY]	95	114	1872	3824	敕勒川			0	blue
0	[95]GIẢ DẬT SƠN[THỦY]	95	117	1480	3440	蜀冈秘境			0	blue
0	[95]GIẢ DẬT SƠN[THỦY]	95	118	1512	3472	丰都鬼城			0	blue
0	[95]GIẢ DẬT SƠN[THỦY]	95	119	1840	3408	苗岭			0	blue
0	[95]GIẢ DẬT SƠN[THỦY]	95	120	1912	3856	武夷山			0	blue
0	[95]GIẢ DẬT SƠN[THỦY]	95	121	1784	3408	武陵山			0	blue
0	[75]MAN TĂNG BẤT GIỚI HÒA THƯỢNG[HỎA]	75	103	1928	3872	蜀岗山			0	red
0	[75]MAN TĂNG BẤT GIỚI HÒA THƯỢNG[HỎA]	75	103	1704	3872	蜀岗山			0	red
0	[75]MAN TĂNG BẤT GIỚI HÒA THƯỢNG[HỎA]	75	103	1816	3824	蜀岗山			0	red
0	[75]MAN TĂNG BẤT GIỚI HÒA THƯỢNG[HỎA]	75	103	1952	3600	蜀岗山			0	red
0	[75]MAN TĂNG BẤT GIỚI HÒA THƯỢNG[HỎA]	75	104	1920	3515	剑阁蜀道			0	red
0	[75]MAN TĂNG BẤT GIỚI HÒA THƯỢNG[HỎA]	75	104	1880	3728	剑阁蜀道			0	red
0	[75]MAN TĂNG BẤT GIỚI HÒA THƯỢNG[HỎA]	75	106	1752	3264	九嶷溪			0	red
0	[75]MAN TĂNG BẤT GIỚI HÒA THƯỢNG[HỎA]	75	106	1846	3279	九嶷溪			0	red
0	[75]NAM QUÁCH NHO[Thổ]	75	102	1304	3168	鸡冠洞			0	222,184,135
0	[75]NAM QUÁCH NHO[Thổ]	75	102	1568	2656	鸡冠洞			0	222,184,135
0	[75]NAM QUÁCH NHO[Thổ]	75	102	1428	3216	鸡冠洞			0	222,184,135
0	[75]NAM QUÁCH NHO[Thổ]	75	102	1568	3088	鸡冠洞			0	222,184,135
0	[75]NAM QUÁCH NHO[Thổ]	75	102	1480	2848	鸡冠洞			0	222,184,135
0	[75]NAM QUÁCH NHO[Thổ]	75	102	1386	2724	鸡冠洞			0	222,184,135
0	[75]NAM QUÁCH NHO[Thổ]	75	104	1865	3435	剑阁蜀道			0	222,184,135
0	[75]NAM QUÁCH NHO[Thổ]	75	105	1716	3269	段氏皇陵			0	222,184,135
0	[95]NHU TIỂU THÚY[Kim]	95	114	1640	3360	敕勒川			0	gold
0	[95]NHU TIỂU THÚY[Kim]	95	116	1960	3600	华山			0	gold
0	[95]NHU TIỂU THÚY[Kim]	95	117	1664	2896	蜀冈秘境			0	gold
0	[95]NHU TIỂU THÚY[Kim]	95	119	1616	3168	苗岭			0	gold
0	[95]NHU TIỂU THÚY[Kim]	95	121	1464	3248	武陵山			0	gold
0	[75]THẦN THƯƠNG PHƯƠNG VÃN[Kim]	75	100	1680	3136	风陵渡			0	gold
0	[75]THẦN THƯƠNG PHƯƠNG VÃN[Kim]	75	101	1640	3392	沙漠迷宫			0	gold
0	[75]THẦN THƯƠNG PHƯƠNG VÃN[Kim]	75	105	1280	3328	段氏皇陵			0	gold
0	[75]THẦN THƯƠNG PHƯƠNG VÃN[Kim]	75	105	1453	3206	段氏皇陵			0	gold
0	[75]THẦN THƯƠNG PHƯƠNG VÃN[Kim]	75	105	1392	3408	段氏皇陵			0	gold
0	[75]THẦN THƯƠNG PHƯƠNG VÃN[Kim]	75	105	1712	3520	段氏皇陵			0	gold
0	[75]THẦN THƯƠNG PHƯƠNG VÃN[Kim]	75	105	1280	3328	段氏皇陵			0	gold
0	[75]THẦN THƯƠNG PHƯƠNG VÃN[Kim]	75	105	1743	3440	段氏皇陵			0	gold
0	[55]THÁC BẠC SƠN UYÊN[Kim]	55	66	1736	3696	塔林西部			0	gold
0	[55]THÁC BẠC SƠN UYÊN[Kim]	55	66	1656	3952	塔林西部			0	gold
0	[55]THÁC BẠC SƠN UYÊN[Kim]	55	66	1912	3266	塔林西部			0	gold
0	[55]THÁC BẠC SƠN UYÊN[Kim]	55	66	1610	3671	塔林西部			0	gold
0	[55]THÁC BẠC SƠN UYÊN[Kim]	55	66	1613	3817	塔林西部			0	gold
0	[55]THÁC BẠC SƠN UYÊN[Kim]	55	66	1611	3955	塔林西部			0	gold
0	[55]THÁC BẠC SƠN UYÊN[Kim]	55	67	1496	3296	Kim国皇陵二层			0	gold
0	[55]THÁC BẠC SƠN UYÊN[Kim]	55	67	1656	3376	Kim国皇陵二层			0	gold
0	[55]THÁC BẠC SƠN UYÊN[Kim]	55	67	1712	3312	Kim国皇陵二层			0	gold
0	[55]THÁC BẠC SƠN UYÊN[Kim]	55	69	1600	2288	龙虎幻境西部			0	gold
0	[55]THÁC BẠC SƠN UYÊN[Kim]	55	69	1279	2632	龙虎幻境西部			0	gold
0	[55]THÁC BẠC SƠN UYÊN[Kim]	55	69	1302	2387	龙虎幻境西部			0	gold
0	[55]THÁC BẠC SƠN UYÊN[Kim]	55	69	1242	2440	龙虎幻境西部			0	gold
0	[55]VẠN LÃO ĐIÊN[HỎA]	55	71	1664	3408	九老洞二层			0	red
0	[55]VẠN LÃO ĐIÊN[HỎA]	55	71	1736	3744	九老洞二层			0	red
0	[55]VẠN LÃO ĐIÊN[HỎA]	55	71	1851	3729	九老洞二层			0	red
0	[55]VẠN LÃO ĐIÊN[HỎA]	55	71	1925	3690	九老洞二层			0	red
0	[55]VẠN LÃO ĐIÊN[HỎA]	55	72	1912	3408	百花阵内阵			0	red
0	[55]VẠN LÃO ĐIÊN[HỎA]	55	72	1880	3440	百花阵内阵			0	red
0	[55]VẠN LÃO ĐIÊN[HỎA]	55	72	2088	3952	百花阵内阵			0	red
0	[55]VẠN LÃO ĐIÊN[HỎA]	55	72	2078	3494	百花阵内阵			0	red
0	[55]VẠN LÃO ĐIÊN[HỎA]	55	72	1959	3828	百花阵内阵			0	red
0	[55]VẠN LÃO ĐIÊN[HỎA]	55	73	1856	3360	湖畔竹林西部			0	red
0	[55]VẠN LÃO ĐIÊN[HỎA]	55	73	1752	3472	湖畔竹林西部			0	red
0	[55]VẠN LÃO ĐIÊN[HỎA]	55	73	1635	3290	湖畔竹林西部			0	red
0	[55]VẠN LÃO ĐIÊN[HỎA]	55	73	1606	3474	湖畔竹林西部			0	red
0	[95]Ô SƠN THÀNH[HỎA]	95	115	1432	3088	嘉峪关			0	red
0	[95]Ô SƠN THÀNH[HỎA]	95	116	1592	3344	华山			0	red
0	[95]Ô SƠN THÀNH[HỎA]	95	118	1712	3936	丰都鬼城			0	red
0	[95]Ô SƠN THÀNH[HỎA]	95	120	1608	3328	武夷山			0	red
0	[95]Ô SƠN THÀNH[HỎA]	95	121	1600	3536	武陵山			0	red
0	[75]HƯƠNG NGỌC TIÊN[THỦY]	75	100	1712	3728	风陵渡			0	blue
0	[75]HƯƠNG NGỌC TIÊN[THỦY]	75	100	1904	3712	风陵渡			0	blue
0	[75]HƯƠNG NGỌC TIÊN[THỦY]	75	104	1560	3744	剑阁蜀道			0	blue
0	[75]HƯƠNG NGỌC TIÊN[THỦY]	75	104	1592	3472	剑阁蜀道			0	blue
0	[75]HƯƠNG NGỌC TIÊN[THỦY]	75	106	1696	3760	九嶷溪			0	blue
0	[75]HƯƠNG NGỌC TIÊN[THỦY]	75	106	1816	3712	九嶷溪			0	blue
0	[75]HƯƠNG NGỌC TIÊN[THỦY]	75	106	1904	3520	九嶷溪			0	blue
0	[55]HINH BỘ ĐẦU[Thổ]	55	70	1296	3152	燕子坞中段			0	Gray
0	[55]HINH BỘ ĐẦU[Thổ]	55	70	1536	3248	燕子坞中段			0	Gray
0	[55]HINH BỘ ĐẦU[Thổ]	55	70	1396	3268	燕子坞中段			0	Gray
0	[55]HINH BỘ ĐẦU[Thổ]	55	74	1608	3440	原始森林西部			0	Gray
0	[55]HINH BỘ ĐẦU[Thổ]	55	74	1600	3664	原始森林西部			0	Gray
0	[55]HINH BỘ ĐẦU[Thổ]	55	75	1920	3360	芦苇荡西北部			0	Gray
0	[55]HINH BỘ ĐẦU[Thổ]	55	75	1816	3552	芦苇荡西北部			0	Gray
0	[55]HINH BỘ ĐẦU[Thổ]	55	71	1911	3579	九老洞二层			0	Gray
0	[55]DƯƠNG LIỄU[THỦY]	55	66	1696	3472	塔林西部			0	blue
0	[55]DƯƠNG LIỄU[THỦY]	55	66	1736	3632	塔林西部			0	blue
0	[55]DƯƠNG LIỄU[THỦY]	55	66	1691	3910	塔林西部			0	blue
0	[55]DƯƠNG LIỄU[THỦY]	55	66	1783	3731	塔林西部			0	blue
0	[55]DƯƠNG LIỄU[THỦY]	55	67	1656	3408	Kim国皇陵二层			0	blue
0	[55]DƯƠNG LIỄU[THỦY]	55	67	1800	3360	Kim国皇陵二层			0	blue
0	[55]DƯƠNG LIỄU[THỦY]	55	69	1384	2304	龙虎幻境西部			0	blue
0	[55]DƯƠNG LIỄU[THỦY]	55	69	1168	2848	龙虎幻境西部			0	blue
0	[55]DƯƠNG LIỄU[THỦY]	55	69	1342	3112	龙虎幻境西部			0	blue
0	[55]DƯƠNG LIỄU[THỦY]	55	69	1456	3157	龙虎幻境西部			0	blue
0	[55]DƯƠNG LIỄU[THỦY]	55	69	1398	3064	龙虎幻境西部			0	blue
0	[55]VÂN TUYẾT SƠN[MỘC]	55	70	1632	2896	燕子坞中段			0	green
0	[55]VÂN TUYẾT SƠN[MỘC]	55	70	1640	3200	燕子坞中段			0	green
0	[55]VÂN TUYẾT SƠN[MỘC]	55	74	1632	3712	原始森林西部			0	green
0	[55]VÂN TUYẾT SƠN[MỘC]	55	74	1744	3840	原始森林西部			0	green
0	[55]VÂN TUYẾT SƠN[MỘC]	55	75	1632	3712	芦苇荡西北部			0	green
0	[55]VÂN TUYẾT SƠN[MỘC]	55	75	1952	3600	芦苇荡西北部			0	green
0	[55]VÂN TUYẾT SƠN[MỘC]	55	75	1680	3216	芦苇荡西北部			0	green
0	[55]VÂN TUYẾT SƠN[MỘC]	55	75	1882	3720	芦苇荡西北部			0	green
0	[55]VÂN TUYẾT SƠN[MỘC]	55	75	1660	3755	芦苇荡西北部			0	green
0	[95]TRƯƠNG THIỆN ĐỨC[MỘC]	95	114	1896	3392	敕勒川			0	green
0	[95]TRƯƠNG THIỆN ĐỨC[MỘC]	95	115	1768	3232	嘉峪关			0	green
0	[95]TRƯƠNG THIỆN ĐỨC[MỘC]	95	116	1576	3824	华山			0	green
0	[95]TRƯƠNG THIỆN ĐỨC[MỘC]	95	117	1496	3136	蜀冈秘境			0	green
0	[95]TRƯƠNG THIỆN ĐỨC[MỘC]	95	119	1704	3776	苗岭			0	green
0	[75]TRIỆU ỨNG TIÊN[MỘC]	75	100	1944	3152	风陵渡			0	green
0	[75]TRIỆU ỨNG TIÊN[MỘC]	75	100	1928	3488	风陵渡			0	green
