FromMapId	FromPosX	FromPosY	Type	Name	ToMapId	ToPosX	ToPosY	ToFightState	BeProtected	FromMap chú thích	ToMap chú thích		
6	52704	93952	trap	to_baizushiji	35	64768	127328	1	1	Thạch Cổ Trấn	Thị trấn Bạch Tộc		
6	49984	94400	trap	to_chamagudao	43	62656	122560	1	1	Thạch Cổ Trấn	Trà Mã Cổ Đạo		
6	53696	105952	trap	to_miaoling	119	48992	119360	1	1	Thạch Cổ Trấn	Miêu Lĩnh		
6	56384	102560	trap	to_yelangjiuxu	135	51296	117984	1	1	Thạch Cổ Trấn	Tàn Tích Dạ Lang		
7	54528	106176	trap	to_linanfu	29	57152	133312	0		Long Tuyền Thôn	Lâm An Phủ		
7	44640	106400	trap	to_wudujiao	20	51776	102304	0		Long Tuyền Thôn	Ngũ Độc Giáo		
7	49600	112864	trap	to_changgemen	21	50368	103616	0		Long Tuyền Thôn	Trường Ca Môn		
7	53216	110624	trap	to_yandanglongqiu	36	51488	126176	1	1	Long Tuyền Thôn	Nhạn Đãng Long Thu		
7	51520	111328	trap	to_zhujianfang	44	49792	112288	1	1	Long Tuyền Thôn	Phường Đúc Kiếm		
7	44512	102848	trap	to_bangyuanmidong	113	60576	108256	1	1	Long Tuyền Thôn	Bang Nguyên Bí Động		
7	46624	110528	trap	to_wuyishan	120	57472	104928	1	1	Long Tuyền Thôn	Vũ Di Sơn		
8	52640	110880	trap	to_tianwangbang	22	50464	102304	0		Ba Lăng Huyện	Thiên Vương Bang		
8	51520	101056	trap	to_xiangyangfu	25	47136	105568	0		Ba Lăng Huyện	Tương Dương Phủ		
8	58720	113344	trap	to_dongtinghupan	37	57216	104160	1	1	Ba Lăng Huyện	Bờ Hồ Động Đình		
8	59808	106560	trap	to_yueyanglou	45	51680	122336	1	1	Ba Lăng Huyện	Nhạc Dương Lâu		
8	57792	114496	trap	to_mingjiao	224	46912	105568	0		Ba Lăng Huyện	Minh Giáo		
8	49632	105984	trap	to_wulingshan	121	57984	107456	1	1	Ba Lăng Huyện	Vũ Lăng Sơn		
9	50464	104672	trap	to_yonglezhen	3	60448	100000	0		Thiếu Lâm Phái	Vĩnh Lạc Trấn		
9	57216	93696	trap	to_bianjingfu	23	44352	104576	0		Thiếu Lâm Phái	Biện Kinh Phủ		
9	50176	93984	trap	to_houshanjindi	46	64192	105792	1	1	Thiếu Lâm Phái	Cấm Địa Hậu Sơn		
10	46848	106944	trap	to_yunzhongzhen	1	50176	104128	0		Thiên Nhẫn Giáo	Vân Trung Trấn		
10	49504	115424	trap	to_bianjingfu	23	52640	92736	0		Thiên Nhẫn Giáo	Biện Kinh Phủ		
10	56576	95840	trap	to_tianrenjiaojindi	47	53152	117728	1	1	Thiên Nhẫn Giáo	Cấm Địa Thiên Nhẫn		
10	50816	114080	trap	bianjingfu_digong	10	52608	111776	0		Biện Kinh Phủ	Địa Cung Thiên Nhẫn Giáo		
10	48448	108320	trap	yunzhongzhen_digong	10	51424	109664	0		Vân Trung Trấn	Địa Cung Thiên Nhẫn Giáo		
10	57664	100224	trap	tianrenjiaojindi_digong	10	56000	104832	0		Cấm Địa Thiên Nhẫn	Địa Cung Thiên Nhẫn Giáo		
10	52480	112000	trap	digong_bianjingfu	10	50656	114272	0		Địa Cung Thiên Nhẫn Giáo	Biện Kinh Phủ		
10	51264	109472	trap	digong_yunzhongzhen	10	48320	108096	0		Địa Cung Thiên Nhẫn Giáo	Vân Trung Trấn		
10	56160	104672	trap	digong_tianrenjiaojindi	10	57792	99968	0		Địa Cung Thiên Nhẫn Giáo	Cấm Địa Thiên Nhẫn		
10	57984	118464	trap	digong_liangshanpo	10	55936	114208	0		Địa Cung Thiên Nhẫn Giáo	Lương Sơn Bạc		
10	56192	114464	trap	liangshanpo_digong	10	58112	118752	0		Lương Sơn Bạc	Địa Cung Thiên Nhẫn Giáo		
10	58464	118976	trap	to_liangshanpo	133	50496	105344	1	1	Thiên Nhẫn Giáo	Lương Sơn Bạc		
11	54528	104352	trap	to_yunzhongzhen	1	43712	96096	0		Tát Mãn Giáo	Vân Trung Trấn		
11	49056	99232	trap	to_mengguwangting	130	56800	118624	1	1	Tát Mãn Giáo	Mông Cổ Vương Đình		
12	57408	96064	trap	to_longmenzhen	2	53824	119104	0		Côn Lôn Phái	Long Môn Trấn		
12	51616	103616	trap	to_fengxiangfu	24	48672	104768	0		Côn Lôn Phái	Phượng Tường Phủ		
12	50240	97696	trap	to_jianxingfeng	48	60000	119200	1	1	Côn Lôn Phái	Kiến Tính Phong		
12	50112	102784	trap	to_huanhuaxi	90	54496	103712	1	1	Côn Lôn Phái	Cán Hoa Khê		
12	50528	96992	trap	to_yueyaquan	131	56768	119040	1	1	Côn Lôn Phái	Nguyệt Nha Tuyền		
13	49504	108128	trap	to_fengxiangfu	24	62752	119200	0		Tây Hạ Nhất Phẩm Đường	Phượng Tường Phủ		
13	56960	110688	trap	to_afanggongfeixu	132	50208	102432	1	1	Tây Hạ Nhất Phẩm Đường	Tàn Tích Cung A Phòng		
14	48512	92576	trap	to_yonglezhen	3	54336	108064	0		Võ Đang Phái	Vĩnh Lạc Trấn		
14	49536	100960	trap	to_xiangyangfu	25	46720	94144	0		Võ Đang Phái	Tương Dương Phủ		
14	41248	95232	trap	to_tianzhufeng	49	51616	125856	1	1	Võ Đang Phái	Thiên Trụ Phong		
15	48832	104672	trap	to_daoxiangcun	4	53408	108384	0		Cái Bang	Đạo Hương Thôn		
15	53248	99168	trap	to_yangzhoufu	26	46336	106656	0		Cái Bang	Dương Châu Phủ		
15	48928	107552	trap	to_gusushuixie	50	58496	100480	1	1	Cái Bang	Cô Tô Thủy Tạ		
16	45792	95424	trap	to_jiulaofeng	51	56832	100256	1	1	Nga My Phái	Cửu Lão Phong		
16	45600	106016	trap	to_jiangjincun	5	47008	98368	0		Nga My Phái	Giang Tân Thôn		
16	49088	92736	trap	to_chengdufu	27	48128	108640	0		Nga My Phái	Thành Đô Phủ		
17	52928	105984	trap	to_shiguzhen	6	46720	105824	0		Thúy Yên Môn	Thạch Cổ Trấn		
17	44352	90624	trap	to_baihuagu	52	62624	119616	1	1	Thúy Yên Môn	Bách Hoa Cốc		
18	50048	107200	trap	to_jiangjincun	5	46656	100000	0		Đường Môn	Giang Tân Thôn		
18	51136	97664	trap	to_feicuihu	53	59552	102624	1	1	Đường Môn	Hồ Phỉ Thúy		
19	48704	96224	trap	to_dalifu	28	45408	111968	0		Đại Lý Đoàn Thị	Đại Lý Phủ		
19	51008	107552	trap	to_shiguzhen	6	42976	99680	0		Đại Lý Đoàn Thị	Thạch Cổ Trấn		
19	48000	105408	trap	to_baihuagu	52	62912	102272	1	1	Đại Lý Đoàn Thị	Bách Hoa Cốc		
20	46368	102464	trap	to_nanyibuluo	54	58432	102528	1	1	Ngũ Độc Giáo	Bộ Lạc Nam Di		
20	52064	101920	trap	to_longquancun	7	44992	106080	0		Ngũ Độc Giáo	Long Tuyền Thôn		
21	49856	103168	trap	to_longquancun	7	49408	112096	0		Trường Ca Môn	Long Tuyền Thôn		
21	49216	110240	trap	to_gulangyu	136	50752	101504	1	1	Trường Ca Môn	Cổ Lãng Dữ		
22	50208	102144	trap	to_balingxian	8	53024	110464	0		Thiên Vương Bang	Ba Lăng Huyện		
22	51488	103392	trap	to_suoyunyuan	128	62176	100896	1	1	Thiên Vương Bang	Tỏa Vân Uyên		
23	44064	104384	trap	to_shaolinpai	9	56960	94016	0		Biện Kinh Phủ	Thiếu Lâm Phái		
23	46016	106144	trap	to_funiushan	95	56288	103424	1	1	Biện Kinh Phủ	Phục Ngưu Sơn		
23	44448	102272	trap	to_longmenshiku	107	63616	109216	1	1	Biện Kinh Phủ	Long Môn Thạch Quật		
23	46368	95680	trap	to_taihanggujing	86	62432	125216	1	1	Biện Kinh Phủ	Thái Hành Cổ Kính		
23	52960	92736	trap	to_tianrenjiao	10	49696	115296	0		Biện Kinh Phủ	Thiên Nhẫn Giáo		
23	51936	92192	trap	to_yunzhongzhen	1	41856	100768	0		Biện Kinh Phủ	Vân Trung Trấn		
24	52192	118752	trap	to_dasanguan	87	51072	108224	1	1	Phượng Tường Phủ	Đại Tán Quan		
24	63936	103584	trap	to_juyanze	94	51616	125856	1	1	Phượng Tường Phủ	Cư Diên Trạch		
24	64320	105792	trap	to_shamomigong	101	51968	124064	1	1	Phượng Tường Phủ	Mê Cung Sa Mạc		
24	48416	104864	trap	to_kunlunpai	12	51232	103456	0		Phượng Tường Phủ	Côn Lôn Phái		
24	62976	119456	trap	to_xixiayipintang	13	49728	108224	0		Phượng Tường Phủ	Tây Hạ Nhất Phẩm Đường		
24	50528	102688	trap	to_longmenzhen	2	55680	119424	0		Phượng Tường Phủ	Long Môn Trấn		
25	46656	93568	trap	to_wudangpai	14	49312	100416	0		Tương Dương Phủ	Võ Đang Phái		
25	56160	106464	trap	to_hanshuigudu	88	51584	103264	1	1	Tương Dương Phủ	Hán Thủy Cổ Độ		
25	46112	94912	trap	to_jianmenguan	111	62336	113696	1	1	Tương Dương Phủ	Kiếm Môn Quan		
25	47264	106144	trap	to_balingxian	8	51904	101536	0		Tương Dương Phủ	Ba Lăng Huyện		
25	56896	95136	trap	to_yonglezhen	3	56064	107712	0		Tương Dương Phủ	Vĩnh Lạc Trấn		
26	46112	107072	trap	to_gaibang	15	53056	99424	0		Dương Châu Phủ	Cái Bang		
26	53280	97664	trap	to_shugangshan	103	57664	125024	1	1	Dương Châu Phủ	Thục Cương Sơn		
26	53984	108288	trap	to_hanshangucha	89	48896	108352	1	1	Dương Châu Phủ	Hàn Sơn Cổ Sát		
26	46976	98656	trap	to_daoxiangcun	4	55296	105472	0		Dương Châu Phủ	Đạo Hương Thôn		
27	47296	99488	trap	to_huanhuaxi	90	63008	113600	1	1	Thành Đô Phủ	Cán Hoa Khê		
27	54720	98752	trap	to_jiangeshudao	104	49472	118944	1	1	Thành Đô Phủ	Kiếm Các Thục Đạo		
27	47744	108928	trap	to_emeipai	16	48864	93152	0		Thành Đô Phủ	Nga My Phái		
27	55872	107520	trap	to_jiangjincun	5	49440	95360	0		Thành Đô Phủ	Giang Tân Thôn		
28	53472	99424	trap	to_erhaimoyan	91	57536	122528	1	1	Đại Lý Phủ	Nhĩ Hải Ma Nham		
28	43360	100928	trap	to_diancangshan	98	61632	121632	1	1	Đại Lý Phủ	Điểm Thương Sơn		
28	45696	112448	trap	to_daliduanshi	19	48928	96352	0		Đại Lý Phủ	Đại Lý Đoàn Thị		
28	53632	111520	trap	to_shiguzhen	6	45600	97536	0		Đại Lý Phủ	Thạch Cổ Trấn		
29	45728	134080	trap	to_jiuyixi	106	61728	106368	1	1	Lâm An Phủ	Cửu Nghi Khê		
29	57024	133856	trap	to_longquancun	7	54304	106528	0		Lâm An Phủ	Long Tuyền Thôn		
29	45376	131456	trap	to_caishiji	92	66208	110304	1	1	Lâm An Phủ	Thái Thạch Cơ		
29	57568	119616	trap	to_huqiujianchi	96	57536	127072	1	1	Lâm An Phủ	Hổ Khâu Kiếm Trì		
30	51616	129888	trap	to_yunzhongzhen	1	51072	103136	0		Chiến Trường Cổ	Vân Trung Trấn		
31	65536	113696	trap	to_longmenzhen	2	51456	114144	0		Quán Trọ Long Môn	Long Môn Trấn		
32	51168	127392	trap	to_yonglezhen	3	58816	99520	0		Quân Mã Trường	Vĩnh Lạc Trấn		
33	64160	129632	trap	to_daoxiangcun	4	48672	99712	0		Mai Hoa Lĩnh	Đạo Hương Thôn		
34	53792	108224	trap	to_jiangjincun	5	49664	104768	0		Trường Giang Hà Cốc	Giang Tân Thôn		
35	64704	128320	trap	to_shiguzhen	6	53056	94432	0		Thị trấn Bạch Tộc	Thạch Cổ Trấn		
36	51200	126752	trap	to_longquancun	7	53056	110208	0		Nhạn Đãng Long Thu	Long Tuyền Thôn		
37	57120	103616	trap	to_balingxian	8	58528	112640	0		Bờ Hồ Động Đình	Ba Lăng Huyện		
38	49632	113152	trap	to_yunzhongzhen	1	51136	103520	0		Trấn Đông Mộ Viên	Vân Trung Trấn		
39	65632	103488	trap	to_longmenzhen	2	51392	117856	0		Kỳ Liên Sơn	Long Môn Trấn		
40	58272	124800	trap	to_yonglezhen	3	55136	97536	0		Đồng Quan	Vĩnh Lạc Trấn		
41	63712	108192	trap	to_daoxiangcun	4	49216	108576	0		Hoài Thủy Sa Châu	Đạo Hương Thôn		
42	65440	108992	trap	to_jiangjincun	5	48576	104224	0		Thục Nam Trúc Hải	Giang Tân Thôn		
43	49696	100320	trap	to_erhaimoyan	91	63168	110272	1	1	Trà Mã Cổ Đạo	Nhĩ Hải Ma Nham		
43	62976	123520	trap	to_shiguzhen	6	50240	94816	0		Trà Mã Cổ Đạo	Thạch Cổ Trấn		
44	49248	112672	trap	to_longquancun	7	51200	110816	0		Phường Đúc Kiếm	Long Tuyền Thôn		
45	51424	122592	trap	to_balingxian	8	59520	107136	0		Nhạc Dương Lâu	Ba Lăng Huyện		
46	64384	105696	trap	to_shaolinpai	9	50432	93728	0		Cấm Địa Hậu Sơn	Thiếu Lâm Phái		
46	51808	125184	trap	to_talin_1	56	63840	105184	1	1	Cấm Địa Hậu Sơn	Đông Tháp Lâm		
47	56736	101440	trap	to_jinguohuangling_1	57	46048	111520	1	1	Cấm Địa Thiên Nhẫn	Hoàng Lăng Kim Quốc 1		
47	52864	118112	trap	to_tianrenjiao	10	56608	96160	0		Cấm Địa Thiên Nhẫn	Thiên Nhẫn Giáo		
48	60384	119296	trap	to_kunlunpai	12	51008	97440	0		Kiến Tính Phong	Côn Lôn Phái		
48	60256	110048	trap	to_bingxuemigong_1	58	52256	107776	1	1	Kiến Tính Phong	Mê Cung Băng Huyệt 1		
49	51168	126368	trap	to_wudangpai	14	41280	95840	0		Thiên Trụ Phong	Võ Đang Phái		
49	58432	103360	trap	to_longhuhuanjing_1	59	50816	101440	1	1	Thiên Trụ Phong	Đông Long Hổ Huyễn Cảnh		
50	58592	99616	trap	to_gaibang	15	49024	107264	0		Cô Tô Thủy Tạ	Cái Bang		
50	50112	104512	trap	to_yanziwu_1	60	51584	86368	1	1	Cô Tô Thủy Tạ	Ngoài Yến Tử Ổ		
51	57056	99776	trap	to_emeipai	16	46240	95808	0		Cửu Lão Phong	Nga My Phái		
51	50208	114912	trap	to_jiulaodong_1	61	52256	122336	1	1	Cửu Lão Phong	Cửu Lão Động 1		
52	63008	120160	trap	to_cuiyanmen	17	44640	90944	0		Bách Hoa Cốc	Thúy Yên Môn		
52	51168	103104	trap	to_baihuazhen_1	62	76096	120576	1	1	Bách Hoa Cốc	Ngoài Bách Hoa Trận		
52	63040	102048	trap	to_daliduanshi	19	48192	105184	0		Bách Hoa Cốc	Đại Lý Đoàn Thị		
53	59744	102336	trap	to_tangmen	18	51424	98336	0		Hồ Phỉ Thúy	Đường Môn		
53	55264	119104	trap	to_hupanzhulin_1	63	56768	103744	1	1	Hồ Phỉ Thúy	Đông Bờ Hồ Trúc Lâm		
54	58752	102336	trap	to_wudujiao	20	46688	102144	0		Bộ Lạc Nam Di	Ngũ Độc Giáo		
54	54400	117792	trap	to_yuanshisenlin_1	64	60064	103872	1	1	Bộ Lạc Nam Di	Đông Rừng Nguyên Sinh		
54	51264	107040	trap	to_mingjiao	224	56320	102880	0		Bộ Lạc Nam Di	Minh Giáo		
56	64320	104480	trap	to_houshanjindi	46	52416	124864	1	1	Đông Tháp Lâm	Cấm Địa Hậu Sơn		
56	51712	128608	trap	to_talin_2	66	63840	105184	1	1	Đông Tháp Lâm	Tây Tháp Lâm		
57	45920	111776	trap	to_tianrenjiaojindi	47	56512	101696	1	1	Hoàng Lăng Kim Quốc 1	Cấm Địa Thiên Nhẫn		
57	53696	103616	trap	to_jinguohuangling_2	67	46048	111520	1	1	Hoàng Lăng Kim Quốc 1	Hoàng Lăng Kim Quốc 2		
58	52096	108128	trap	to_jianxingfeng	48	60064	110240	1	1	Mê Cung Băng Huyệt 1	Kiến Tính Phong		
58	56096	96448	trap	to_bingxuemigong_2	68	52256	107776	1	1	Mê Cung Băng Huyệt 1	Mê Cung Băng Huyệt 2		
59	51200	101888	trap	to_tianzhufeng	49	58496	104096	1	1	Đông Long Hổ Huyễn Cảnh	Thiên Trụ Phong		
59	36544	74112	trap	to_longhuhuanjing_2	69	50816	101440	1	1	Đông Long Hổ Huyễn Cảnh	Tây Long Hổ Huyễn Cảnh		
60	51744	85952	trap	to_gusushuixie	50	50784	104640	1	1	Ngoài Yến Tử Ổ	Cô Tô Thủy Tạ		
60	42624	105728	trap	to_yanziwu_2	70	51584	86368	1	1	Ngoài Yến Tử Ổ	Giữa Yến Tử Ổ		
61	51936	123072	trap	to_jiulaofeng	51	50048	115136	1	1	Cửu Lão Động 1	Cửu Lão Phong		
61	61056	116224	trap	to_jiulaodong_2	71	52256	122336	1	1	Cửu Lão Phong Tầng 1	Cửu Lão Phong Tầng 2		
62	76416	120512	trap	to_baihuagu	52	51840	103296	1	1	Ngoài Bách Hoa Trận	Bách Hoa Cốc		
62	55808	117824	trap	to_baihuazhen_2	72	76128	120512	1	1	Ngoài Bách Hoa Trận	Trong Bách Hoa Trận		
63	57120	103296	trap	to_feicuihu	53	55456	118560	1	1	Đông Bờ Hồ Trúc Lâm	Hồ Phỉ Thúy		
63	56864	117248	trap	to_hupanzhulin_2	73	56768	103744	1	1	Đông Bờ Hồ Trúc Lâm	Tây Bờ Hồ Trúc Lâm		
64	60384	103072	trap	to_nanyibuluo	54	54496	117248	1	1	Đông Rừng Nguyên Sinh	Bộ Lạc Nam Di		
64	56032	123040	trap	to_yuanshisenlin_2	74	60000	103936	1	1	Đông Rừng Nguyên Sinh	Tây Rừng Nguyên Sinh		
65	51328	101696	trap	to_luweidang_2	75	62560	120640	1	1	Đông Nam Lư Vĩ Đãng	Tây Bắc Lư Vĩ Đãng		
66	64320	104352	trap	to_talin_1	56	51808	128064	1	1	Tây Tháp Lâm	Đông Tháp Lâm		
67	45920	111776	trap	to_jinguohuangling_1	57	53472	103840	1	1	Hoàng Lăng Kim Quốc 2	Hoàng Lăng Kim Quốc 1		
68	52096	108128	trap	to_bingxuemigong_1	58	55936	96736	1	1	Mê Cung Băng Huyệt 2	Mê Cung Băng Huyệt 1		
69	51200	101888	trap	to_longhuhuanjing_1	59	36896	74368	1	1	Tây Long Hổ Huyễn Cảnh	Đông Long Hổ Huyễn Cảnh		
70	51744	85952	trap	to_yanziwu_1	60	42688	105440	1	1	Giữa Yến Tử Ổ	Ngoài Yến Tử Ổ		
71	51936	123072	trap	to_jiulaodong_1	61	60832	116384	1	1	Cửu Lão Động 2	Cửu Lão Phong Tầng 1		
72	76416	120480	trap	to_baihuazhen_1	62	56032	117856	1	1	Trong Bách Hoa Trận	Ngoài Bách Hoa Trận		
73	57120	103296	trap	to_hupanzhulin_1	63	57056	116704	1	1	Tây Bờ Hồ Trúc Lâm	Đông Bờ Hồ Trúc Lâm		
74	60416	103072	trap	to_yuanshisenlin_1	64	56192	122432	1	1	Tây Rừng Nguyên Sinh	Đông Rừng Nguyên Sinh		
75	62656	121312	trap	to_luweidang_1	65	51712	102496	1	1	Tây Bắc Lư Vĩ Đãng	Đông Nam Lư Vĩ Đãng		
86	57376	125984	trap	to_longmenshiku	107	63776	103456	1	1	Thái Hành Cổ Kính	Long Môn Thạch Quật		
86	62368	125952	trap	to_bianjingfu	23	46688	95968	0		Thái Hành Cổ Kính	Biện Kinh Phủ		
86	51136	115680	trap	to_fenglingdu	100	63168	104448	1	1	Thái Hành Cổ Kính	Phong Lăng Độ		
86	51680	103776	trap	to_yaowangdong	93	61216	118944	1	1	Thái Hành Cổ Kính	Dược Vương Động		
87	50816	108032	trap	to_fengxiangfu	24	52288	118560	0		Đại Tán Quan	Phượng Tường Phủ		
87	58208	127040	trap	to_jiangeshudao	104	58464	101952	1	1	Đại Tán Quan	Kiếm Các Thục Đạo		
87	62464	125088	trap	to_jianmenguan	111	51552	104608	1	1	Đại Tán Quan	Kiếm Môn Quan		
87	62560	114112	trap	to_afanggongfeixu	132	50304	112416	1	1	Đại Tán Quan	Tàn Tích Cung A Phòng		
88	61440	106112	trap	to_funiushan	95	56416	126656	1	1	Hán Thủy Cổ Độ	Phục Ngưu Sơn		
88	62784	120672	trap	to_huanghelou	109	51552	113888	1	1	Hán Thủy Cổ Độ	Hoàng Hạc Lâu		
88	51456	102720	trap	to_xiangyangfu	25	56160	105920	0		Hán Thủy Cổ Độ	Tương Dương Phủ		
88	53568	124160	trap	to_shennvfeng	134	56864	102208	1	1	Hán Thủy Cổ Độ	Thần Nữ Phong		
89	58976	101536	trap	to_shugangshan	103	63072	122752	1	1	Hàn Sơn Cổ Sát	Thục Cương Sơn		
89	48352	108320	trap	to_yangzhoufu	26	53632	108384	0		Hàn Sơn Cổ Sát	Dương Châu Phủ		
89	57120	120384	trap	to_huqiujianchi	96	58976	102304	1	1	Hàn Sơn Cổ Sát	Hổ Khâu Kiếm Trì		
90	52992	128224	trap	to_erhaimoyan	91	59872	103744	1	1	Cán Hoa Khê	Nhĩ Hải Ma Nham		
90	63488	113696	trap	to_chengdufu	27	47744	99552	0		Cán Hoa Khê	Thành Đô Phủ		
90	57312	104064	trap	to_xiangshuidong	97	55040	121376	1	1	Cán Hoa Khê	Hưởng Thủy Động		
90	54464	103200	trap	to_kunlunpai	12	50368	103040	0		Cán Hoa Khê	Côn Lôn Phái		
91	63488	110144	trap	to_chamagudao	43	50144	101088	1	1	Nhĩ Hải Ma Nham	Trà Mã Cổ Đạo		
91	60064	103200	trap	to_huanhuaxi	90	52960	127296	1	1	Nhĩ Hải Ma Nham	Cán Hoa Khê		
91	51232	113792	trap	to_diancangshan	98	61600	106240	1	1	Nhĩ Hải Ma Nham	Điểm Thương Sơn		
91	51232	104128	trap	to_tianlongsi	112	61024	112960	1	1	Nhĩ Hải Ma Nham	Thiên Long Tự		
91	57408	123136	trap	to_dalifu	28	53408	100192	0		Nhĩ Hải Ma Nham	Đại Lý Phủ		
92	60128	121728	trap	to_jiuyixi	106	57600	103552	1	1	Thái Thạch Cơ	Cửu Nghi Khê		
92	49984	120992	trap	to_pengliguze	99	52032	78144	1	1	Thái Thạch Cơ	Bành Lãi Cổ Trạch		
92	66496	110144	trap	to_linanfu	29	45728	131712	0		Thái Thạch Cơ	Lâm An Phủ		
92	66080	103392	trap	to_huqiujianchi	96	50240	117408	1	1	Thái Thạch Cơ	Hổ Khâu Kiếm Trì		
92	50080	111648	trap	to_huanghelou	109	61728	113440	1	1	Thái Thạch Cơ	Hoàng Hạc Lâu		
92	55840	108928	trap	to_dukou1	92	56768	109856	1	1	Bến đò Thái Thạch Cơ 2	Bến đò Thái Thạch Cơ 1		
92	56512	109696	trap	to_dukou2	92	55712	108672	1	1	Bến đò Thái Thạch Cơ 1	Bến đò Thái Thạch Cơ 2		
92	55072	112352	trap	to_dukou3	92	54560	114176	1	1	Bến đò Thái Thạch Cơ 4	Bến đò Thái Thạch Cơ 3		
92	54432	113920	trap	to_dukou4	92	54944	112096	1	1	Bến đò Thái Thạch Cơ 3	Bến đò Thái Thạch Cơ 4		
93	61472	119488	trap	to_taihanggujing	86	51872	104064	1	1	Dược Vương Động	Thái Hành Cổ Kính		
94	63488	115488	trap	to_shamomigong	101	51808	114304	1	1	Cư Diên Trạch	Mê Cung Sa Mạc		
94	51104	126112	trap	to_fengxiangfu	24	63712	103680	0		Cư Diên Trạch	Phượng Tường Phủ		
94	51072	117184	trap	to_jiayuguan	115	57024	99136	1	1	Cư Diên Trạch	Gia Dụ Quan		
